#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  1256   0.799007E+03   0.129767E+01   0.128145E-05   0.129767E+01   0.284590E+02  -0.307174E-06   0.128145E-05  -0.307174E-06   0.455981E-08
  1257   0.795315E+03   0.681991E+00   0.129537E-05   0.681991E+00   0.286319E+02  -0.309056E-06   0.129537E-05  -0.309056E-06   0.455376E-08
  1258   0.791682E+03   0.538706E-01   0.130926E-05   0.538706E-01   0.288019E+02  -0.310896E-06   0.130926E-05  -0.310896E-06   0.454772E-08
  1259   0.788102E+03  -0.586382E+00   0.132312E-05  -0.586382E+00   0.289689E+02  -0.312693E-06   0.132312E-05  -0.312693E-06   0.454170E-08
  1260   0.784596E+03  -0.123846E+01   0.133693E-05  -0.123846E+01   0.291328E+02  -0.314448E-06   0.133693E-05  -0.314448E-06   0.453569E-08
  1261   0.781142E+03  -0.190205E+01   0.135071E-05  -0.190205E+01   0.292936E+02  -0.316161E-06   0.135071E-05  -0.316161E-06   0.452970E-08
  1262   0.777755E+03  -0.257685E+01   0.136445E-05  -0.257685E+01   0.294511E+02  -0.317831E-06   0.136445E-05  -0.317831E-06   0.452371E-08
  1263   0.774434E+03  -0.326256E+01   0.137815E-05  -0.326256E+01   0.296053E+02  -0.319459E-06   0.137815E-05  -0.319459E-06   0.451774E-08
  1264   0.771174E+03  -0.395885E+01   0.139181E-05  -0.395885E+01   0.297563E+02  -0.321045E-06   0.139181E-05  -0.321045E-06   0.451178E-08
  1265   0.767980E+03  -0.466538E+01   0.140542E-05  -0.466538E+01   0.299038E+02  -0.322590E-06   0.140542E-05  -0.322590E-06   0.450584E-08
  1266   0.764845E+03  -0.538181E+01   0.141898E-05  -0.538181E+01   0.300477E+02  -0.324092E-06   0.141898E-05  -0.324092E-06   0.449990E-08
  1267   0.761785E+03  -0.610778E+01   0.143250E-05  -0.610778E+01   0.301882E+02  -0.325552E-06   0.143250E-05  -0.325552E-06   0.449398E-08
  1268   0.758791E+03  -0.684296E+01   0.144597E-05  -0.684296E+01   0.303252E+02  -0.326970E-06   0.144597E-05  -0.326970E-06   0.448807E-08
  1269   0.755865E+03  -0.758697E+01   0.145939E-05  -0.758697E+01   0.304585E+02  -0.328346E-06   0.145939E-05  -0.328346E-06   0.448217E-08
  1270   0.753005E+03  -0.833951E+01   0.147275E-05  -0.833951E+01   0.305881E+02  -0.329680E-06   0.147275E-05  -0.329680E-06   0.447628E-08
  1271   0.750212E+03  -0.910014E+01   0.148606E-05  -0.910014E+01   0.307140E+02  -0.330973E-06   0.148606E-05  -0.330973E-06   0.447041E-08
  1272   0.747494E+03  -0.986865E+01   0.149931E-05  -0.986865E+01   0.308360E+02  -0.332224E-06   0.149931E-05  -0.332224E-06   0.446455E-08
  1273   0.744842E+03  -0.106445E+02   0.151251E-05  -0.106445E+02   0.309542E+02  -0.333432E-06   0.151251E-05  -0.333432E-06   0.445870E-08
  1274   0.742256E+03  -0.114275E+02   0.152565E-05  -0.114275E+02   0.310686E+02  -0.334600E-06   0.152565E-05  -0.334600E-06   0.445286E-08
  1275   0.739744E+03  -0.122172E+02   0.153872E-05  -0.122172E+02   0.311791E+02  -0.335725E-06   0.153872E-05  -0.335725E-06   0.444703E-08
  1276   0.737304E+03  -0.130133E+02   0.155174E-05  -0.130133E+02   0.312855E+02  -0.336809E-06   0.155174E-05  -0.336809E-06   0.444122E-08
  1277   0.734934E+03  -0.138153E+02   0.156469E-05  -0.138153E+02   0.313881E+02  -0.337852E-06   0.156469E-05  -0.337852E-06   0.443542E-08
  1278   0.732636E+03  -0.146230E+02   0.157757E-05  -0.146230E+02   0.314865E+02  -0.338852E-06   0.157757E-05  -0.338852E-06   0.442963E-08
  1279   0.730409E+03  -0.154360E+02   0.159039E-05  -0.154360E+02   0.315808E+02  -0.339812E-06   0.159039E-05  -0.339812E-06   0.442385E-08
  1280   0.728255E+03  -0.162539E+02   0.160314E-05  -0.162539E+02   0.316711E+02  -0.340730E-06   0.160314E-05  -0.340730E-06   0.441808E-08
  1281   0.726172E+03  -0.170764E+02   0.161581E-05  -0.170764E+02   0.317570E+02  -0.341606E-06   0.161581E-05  -0.341606E-06   0.441233E-08
  1282   0.724161E+03  -0.179031E+02   0.162842E-05  -0.179031E+02   0.318389E+02  -0.342441E-06   0.162842E-05  -0.342441E-06   0.440659E-08
  1283   0.722223E+03  -0.187336E+02   0.164095E-05  -0.187336E+02   0.319164E+02  -0.343235E-06   0.164095E-05  -0.343235E-06   0.440085E-08
  1284   0.720356E+03  -0.195676E+02   0.165340E-05  -0.195676E+02   0.319896E+02  -0.343987E-06   0.165340E-05  -0.343987E-06   0.439514E-08
  1285   0.718562E+03  -0.204047E+02   0.166578E-05  -0.204047E+02   0.320585E+02  -0.344698E-06   0.166578E-05  -0.344698E-06   0.438943E-08
  1286   0.716841E+03  -0.212445E+02   0.167808E-05  -0.212445E+02   0.321230E+02  -0.345368E-06   0.167808E-05  -0.345368E-06   0.438373E-08
  1287   0.715192E+03  -0.220867E+02   0.169030E-05  -0.220867E+02   0.321832E+02  -0.345997E-06   0.169030E-05  -0.345997E-06   0.437805E-08
  1288   0.713615E+03  -0.229308E+02   0.170243E-05  -0.229308E+02   0.322389E+02  -0.346584E-06   0.170243E-05  -0.346584E-06   0.437237E-08
  1289   0.712110E+03  -0.237765E+02   0.171449E-05  -0.237765E+02   0.322902E+02  -0.347131E-06   0.171449E-05  -0.347131E-06   0.436671E-08
  1290   0.710679E+03  -0.246234E+02   0.172645E-05  -0.246234E+02   0.323372E+02  -0.347636E-06   0.172645E-05  -0.347636E-06   0.436106E-08
  1291   0.709320E+03  -0.254712E+02   0.173833E-05  -0.254712E+02   0.323797E+02  -0.348101E-06   0.173833E-05  -0.348101E-06   0.435542E-08
  1292   0.708032E+03  -0.263195E+02   0.175012E-05  -0.263195E+02   0.324178E+02  -0.348524E-06   0.175012E-05  -0.348524E-06   0.434979E-08
  1293   0.706817E+03  -0.271678E+02   0.176183E-05  -0.271678E+02   0.324515E+02  -0.348906E-06   0.176183E-05  -0.348906E-06   0.434418E-08
  1294   0.705675E+03  -0.280159E+02   0.177343E-05  -0.280159E+02   0.324808E+02  -0.349248E-06   0.177343E-05  -0.349248E-06   0.433857E-08
  1295   0.704603E+03  -0.288634E+02   0.178495E-05  -0.288634E+02   0.325055E+02  -0.349549E-06   0.178495E-05  -0.349549E-06   0.433298E-08
  1296   0.703603E+03  -0.297099E+02   0.179637E-05  -0.297099E+02   0.325258E+02  -0.349809E-06   0.179637E-05  -0.349809E-06   0.432739E-08
  1297   0.702674E+03  -0.305551E+02   0.180769E-05  -0.305551E+02   0.325415E+02  -0.350028E-06   0.180769E-05  -0.350028E-06   0.432182E-08
  1298   0.701816E+03  -0.313985E+02   0.181892E-05  -0.313985E+02   0.325528E+02  -0.350206E-06   0.181892E-05  -0.350206E-06   0.431626E-08
  1299   0.701028E+03  -0.322400E+02   0.183004E-05  -0.322400E+02   0.325595E+02  -0.350344E-06   0.183004E-05  -0.350344E-06   0.431071E-08
  1300   0.700310E+03  -0.330790E+02   0.184106E-05  -0.330790E+02   0.325617E+02  -0.350441E-06   0.184106E-05  -0.350441E-06   0.430517E-08
  1301   0.699661E+03  -0.339153E+02   0.185198E-05  -0.339153E+02   0.325594E+02  -0.350498E-06   0.185198E-05  -0.350498E-06   0.429964E-08
  1302   0.699082E+03  -0.347484E+02   0.186280E-05  -0.347484E+02   0.325526E+02  -0.350514E-06   0.186280E-05  -0.350514E-06   0.429413E-08
  1303   0.698571E+03  -0.355782E+02   0.187351E-05  -0.355782E+02   0.325413E+02  -0.350490E-06   0.187351E-05  -0.350490E-06   0.428862E-08
  1304   0.698127E+03  -0.364042E+02   0.188412E-05  -0.364042E+02   0.325255E+02  -0.350426E-06   0.188412E-05  -0.350426E-06   0.428313E-08
  1305   0.697753E+03  -0.372260E+02   0.189462E-05  -0.372260E+02   0.325052E+02  -0.350323E-06   0.189462E-05  -0.350323E-06   0.427764E-08
  1306   0.697444E+03  -0.380433E+02   0.190501E-05  -0.380433E+02   0.324806E+02  -0.350180E-06   0.190501E-05  -0.350180E-06   0.427217E-08
  1307   0.697203E+03  -0.388558E+02   0.191530E-05  -0.388558E+02   0.324514E+02  -0.349998E-06   0.191530E-05  -0.349998E-06   0.426671E-08
  1308   0.697027E+03  -0.396632E+02   0.192549E-05  -0.396632E+02   0.324179E+02  -0.349778E-06   0.192549E-05  -0.349778E-06   0.426126E-08
  1309   0.696917E+03  -0.404650E+02   0.193556E-05  -0.404650E+02   0.323800E+02  -0.349518E-06   0.193556E-05  -0.349518E-06   0.425582E-08
  1310   0.696871E+03  -0.412610E+02   0.194553E-05  -0.412610E+02   0.323376E+02  -0.349221E-06   0.194553E-05  -0.349221E-06   0.425039E-08
  1311   0.696889E+03  -0.420508E+02   0.195539E-05  -0.420508E+02   0.322909E+02  -0.348886E-06   0.195539E-05  -0.348886E-06   0.424497E-08
  1312   0.696971E+03  -0.428341E+02   0.196515E-05  -0.428341E+02   0.322397E+02  -0.348512E-06   0.196515E-05  -0.348512E-06   0.423956E-08
  1313   0.697115E+03  -0.436105E+02   0.197479E-05  -0.436105E+02   0.321842E+02  -0.348102E-06   0.197479E-05  -0.348102E-06   0.423416E-08
  1314   0.697321E+03  -0.443798E+02   0.198433E-05  -0.443798E+02   0.321244E+02  -0.347654E-06   0.198433E-05  -0.347654E-06   0.422878E-08
  1315   0.697587E+03  -0.451415E+02   0.199376E-05  -0.451415E+02   0.320603E+02  -0.347169E-06   0.199376E-05  -0.347169E-06   0.422340E-08
  1316   0.697914E+03  -0.458956E+02   0.200308E-05  -0.458956E+02   0.319920E+02  -0.346647E-06   0.200308E-05  -0.346647E-06   0.421803E-08
  1317   0.698300E+03  -0.466416E+02   0.201229E-05  -0.466416E+02   0.319195E+02  -0.346089E-06   0.201229E-05  -0.346089E-06   0.421268E-08
  1318   0.698744E+03  -0.473792E+02   0.202138E-05  -0.473792E+02   0.318429E+02  -0.345495E-06   0.202138E-05  -0.345495E-06   0.420733E-08
  1319   0.699247E+03  -0.481081E+02   0.203037E-05  -0.481081E+02   0.317622E+02  -0.344864E-06   0.203037E-05  -0.344864E-06   0.420200E-08
  1320   0.699806E+03  -0.488281E+02   0.203925E-05  -0.488281E+02   0.316774E+02  -0.344198E-06   0.203925E-05  -0.344198E-06   0.419668E-08
  1321   0.700422E+03  -0.495388E+02   0.204801E-05  -0.495388E+02   0.315886E+02  -0.343497E-06   0.204801E-05  -0.343497E-06   0.419136E-08
  1322   0.701093E+03  -0.502400E+02   0.205666E-05  -0.502400E+02   0.314959E+02  -0.342760E-06   0.205666E-05  -0.342760E-06   0.418606E-08
  1323   0.701818E+03  -0.509314E+02   0.206520E-05  -0.509314E+02   0.313992E+02  -0.341988E-06   0.206520E-05  -0.341988E-06   0.418077E-08
  1324   0.702596E+03  -0.516128E+02   0.207363E-05  -0.516128E+02   0.312987E+02  -0.341182E-06   0.207363E-05  -0.341182E-06   0.417548E-08
  1325   0.703426E+03  -0.522837E+02   0.208195E-05  -0.522837E+02   0.311942E+02  -0.340341E-06   0.208195E-05  -0.340341E-06   0.417021E-08
  1326   0.704308E+03  -0.529440E+02   0.209015E-05  -0.529440E+02   0.310859E+02  -0.339466E-06   0.209015E-05  -0.339466E-06   0.416495E-08
  1327   0.705240E+03  -0.535934E+02   0.209823E-05  -0.535934E+02   0.309739E+02  -0.338557E-06   0.209823E-05  -0.338557E-06   0.415970E-08
  1328   0.706221E+03  -0.542316E+02   0.210620E-05  -0.542316E+02   0.308580E+02  -0.337615E-06   0.210620E-05  -0.337615E-06   0.415446E-08
  1329   0.707249E+03  -0.548584E+02   0.211406E-05  -0.548584E+02   0.307386E+02  -0.336639E-06   0.211406E-05  -0.336639E-06   0.414923E-08
  1330   0.708326E+03  -0.554736E+02   0.212180E-05  -0.554736E+02   0.306155E+02  -0.335630E-06   0.212180E-05  -0.335630E-06   0.414401E-08
  1331   0.709448E+03  -0.560769E+02   0.212943E-05  -0.560769E+02   0.304888E+02  -0.334588E-06   0.212943E-05  -0.334588E-06   0.413879E-08
  1332   0.710614E+03  -0.566681E+02   0.213694E-05  -0.566681E+02   0.303585E+02  -0.333514E-06   0.213694E-05  -0.333514E-06   0.413359E-08
  1333   0.711824E+03  -0.572470E+02   0.214433E-05  -0.572470E+02   0.302248E+02  -0.332407E-06   0.214433E-05  -0.332407E-06   0.412840E-08
  1334   0.713077E+03  -0.578133E+02   0.215161E-05  -0.578133E+02   0.300877E+02  -0.331268E-06   0.215161E-05  -0.331268E-06   0.412322E-08
  1335   0.714371E+03  -0.583667E+02   0.215877E-05  -0.583667E+02   0.299472E+02  -0.330098E-06   0.215877E-05  -0.330098E-06   0.411805E-08
  1336   0.715706E+03  -0.589071E+02   0.216581E-05  -0.589071E+02   0.298035E+02  -0.328895E-06   0.216581E-05  -0.328895E-06   0.411289E-08
  1337   0.717079E+03  -0.594344E+02   0.217273E-05  -0.594344E+02   0.296564E+02  -0.327662E-06   0.217273E-05  -0.327662E-06   0.410774E-08
  1338   0.718491E+03  -0.599483E+02   0.217954E-05  -0.599483E+02   0.295063E+02  -0.326397E-06   0.217954E-05  -0.326397E-06   0.410260E-08
  1339   0.719939E+03  -0.604485E+02   0.218622E-05  -0.604485E+02   0.293529E+02  -0.325102E-06   0.218622E-05  -0.325102E-06   0.409747E-08
  1340   0.721422E+03  -0.609350E+02   0.219279E-05  -0.609350E+02   0.291966E+02  -0.323776E-06   0.219279E-05  -0.323776E-06   0.409235E-08
  1341   0.722940E+03  -0.614075E+02   0.219924E-05  -0.614075E+02   0.290372E+02  -0.322419E-06   0.219924E-05  -0.322419E-06   0.408724E-08
  1342   0.724491E+03  -0.618657E+02   0.220556E-05  -0.618657E+02   0.288749E+02  -0.321033E-06   0.220556E-05  -0.321033E-06   0.408214E-08
  1343   0.726074E+03  -0.623097E+02   0.221177E-05  -0.623097E+02   0.287097E+02  -0.319617E-06   0.221177E-05  -0.319617E-06   0.407704E-08
  1344   0.727686E+03  -0.627391E+02   0.221785E-05  -0.627391E+02   0.285417E+02  -0.318171E-06   0.221785E-05  -0.318171E-06   0.407196E-08
  1345   0.729329E+03  -0.631539E+02   0.222382E-05  -0.631539E+02   0.283710E+02  -0.316697E-06   0.222382E-05  -0.316697E-06   0.406689E-08
  1346   0.730998E+03  -0.635537E+02   0.222966E-05  -0.635537E+02   0.281975E+02  -0.315193E-06   0.222966E-05  -0.315193E-06   0.406183E-08
  1347   0.732695E+03  -0.639386E+02   0.223538E-05  -0.639386E+02   0.280214E+02  -0.313660E-06   0.223538E-05  -0.313660E-06   0.405678E-08
  1348   0.734416E+03  -0.643082E+02   0.224098E-05  -0.643082E+02   0.278426E+02  -0.312099E-06   0.224098E-05  -0.312099E-06   0.405173E-08
  1349   0.736161E+03  -0.646625E+02   0.224645E-05  -0.646625E+02   0.276614E+02  -0.310510E-06   0.224645E-05  -0.310510E-06   0.404670E-08
  1350   0.737929E+03  -0.650014E+02   0.225180E-05  -0.650014E+02   0.274779E+02  -0.308893E-06   0.225180E-05  -0.308893E-06   0.404168E-08
  1351   0.739718E+03  -0.653250E+02   0.225703E-05  -0.653250E+02   0.272919E+02  -0.307248E-06   0.225703E-05  -0.307248E-06   0.403666E-08
  1352   0.741528E+03  -0.656329E+02   0.226213E-05  -0.656329E+02   0.271038E+02  -0.305575E-06   0.226213E-05  -0.305575E-06   0.403166E-08
  1353   0.743358E+03  -0.659252E+02   0.226711E-05  -0.659252E+02   0.269134E+02  -0.303876E-06   0.226711E-05  -0.303876E-06   0.402666E-08
  1354   0.745200E+03  -0.662018E+02   0.227195E-05  -0.662018E+02   0.267210E+02  -0.302150E-06   0.227195E-05  -0.302150E-06   0.402168E-08
  1355   0.747065E+03  -0.664626E+02   0.227667E-05  -0.664626E+02   0.265266E+02  -0.300397E-06   0.227667E-05  -0.300397E-06   0.401670E-08
  1356   0.748944E+03  -0.667076E+02   0.228127E-05  -0.667076E+02   0.263304E+02  -0.298619E-06   0.228127E-05  -0.298619E-06   0.401173E-08
  1357   0.750838E+03  -0.669367E+02   0.228572E-05  -0.669367E+02   0.261323E+02  -0.296815E-06   0.228572E-05  -0.296815E-06   0.400678E-08
  1358   0.752747E+03  -0.671498E+02   0.229005E-05  -0.671498E+02   0.259324E+02  -0.294985E-06   0.229005E-05  -0.294985E-06   0.400183E-08
  1359   0.754664E+03  -0.673469E+02   0.229425E-05  -0.673469E+02   0.257309E+02  -0.293130E-06   0.229425E-05  -0.293130E-06   0.399689E-08
  1360   0.756588E+03  -0.675278E+02   0.229831E-05  -0.675278E+02   0.255278E+02  -0.291251E-06   0.229831E-05  -0.291251E-06   0.399196E-08
  1361   0.758519E+03  -0.676925E+02   0.230223E-05  -0.676925E+02   0.253232E+02  -0.289347E-06   0.230223E-05  -0.289347E-06   0.398704E-08
  1362   0.760465E+03  -0.678410E+02   0.230602E-05  -0.678410E+02   0.251171E+02  -0.287419E-06   0.230602E-05  -0.287419E-06   0.398213E-08
  1363   0.762411E+03  -0.679732E+02   0.230967E-05  -0.679732E+02   0.249096E+02  -0.285467E-06   0.230967E-05  -0.285467E-06   0.397723E-08
  1364   0.764365E+03  -0.680891E+02   0.231319E-05  -0.680891E+02   0.247008E+02  -0.283491E-06   0.231319E-05  -0.283491E-06   0.397233E-08
  1365   0.766326E+03  -0.681887E+02   0.231656E-05  -0.681887E+02   0.244908E+02  -0.281493E-06   0.231656E-05  -0.281493E-06   0.396745E-08
  1366   0.768280E+03  -0.682720E+02   0.231979E-05  -0.682720E+02   0.242797E+02  -0.279472E-06   0.231979E-05  -0.279472E-06   0.396258E-08
  1367   0.770241E+03  -0.683390E+02   0.232288E-05  -0.683390E+02   0.240675E+02  -0.277428E-06   0.232288E-05  -0.277428E-06   0.395771E-08
  1368   0.772202E+03  -0.683896E+02   0.232583E-05  -0.683896E+02   0.238544E+02  -0.275363E-06   0.232583E-05  -0.275363E-06   0.395286E-08
  1369   0.774156E+03  -0.684238E+02   0.232863E-05  -0.684238E+02   0.236404E+02  -0.273275E-06   0.232863E-05  -0.273275E-06   0.394801E-08
  1370   0.776117E+03  -0.684418E+02   0.233129E-05  -0.684418E+02   0.234256E+02  -0.271166E-06   0.233129E-05  -0.271166E-06   0.394317E-08
  1371   0.778063E+03  -0.684436E+02   0.233380E-05  -0.684436E+02   0.232101E+02  -0.269036E-06   0.233380E-05  -0.269036E-06   0.393834E-08
  1372   0.780010E+03  -0.684290E+02   0.233616E-05  -0.684290E+02   0.229940E+02  -0.266885E-06   0.233616E-05  -0.266885E-06   0.393352E-08
  1373   0.781948E+03  -0.683983E+02   0.233837E-05  -0.683983E+02   0.227773E+02  -0.264714E-06   0.233837E-05  -0.264714E-06   0.392871E-08
  1374   0.783880E+03  -0.683515E+02   0.234043E-05  -0.683515E+02   0.225602E+02  -0.262522E-06   0.234043E-05  -0.262522E-06   0.392391E-08
  1375   0.785796E+03  -0.682885E+02   0.234234E-05  -0.682885E+02   0.223427E+02  -0.260311E-06   0.234234E-05  -0.260311E-06   0.391912E-08
  1376   0.787706E+03  -0.682094E+02   0.234410E-05  -0.682094E+02   0.221250E+02  -0.258080E-06   0.234410E-05  -0.258080E-06   0.391434E-08
  1377   0.789607E+03  -0.681144E+02   0.234570E-05  -0.681144E+02   0.219070E+02  -0.255830E-06   0.234570E-05  -0.255830E-06   0.390956E-08
  1378   0.791494E+03  -0.680033E+02   0.234715E-05  -0.680033E+02   0.216889E+02  -0.253561E-06   0.234715E-05  -0.253561E-06   0.390479E-08
  1379   0.793366E+03  -0.678764E+02   0.234845E-05  -0.678764E+02   0.214708E+02  -0.251273E-06   0.234845E-05  -0.251273E-06   0.390004E-08
  1380   0.795216E+03  -0.677335E+02   0.234958E-05  -0.677335E+02   0.212527E+02  -0.248968E-06   0.234958E-05  -0.248968E-06   0.389529E-08
  1381   0.797058E+03  -0.675749E+02   0.235056E-05  -0.675749E+02   0.210346E+02  -0.246644E-06   0.235056E-05  -0.246644E-06   0.389055E-08
  1382   0.798879E+03  -0.674004E+02   0.235138E-05  -0.674004E+02   0.208168E+02  -0.244303E-06   0.235138E-05  -0.244303E-06   0.388582E-08
  1383   0.800676E+03  -0.672102E+02   0.235204E-05  -0.672102E+02   0.205991E+02  -0.241945E-06   0.235204E-05  -0.241945E-06   0.388110E-08
  1384   0.802452E+03  -0.670044E+02   0.235254E-05  -0.670044E+02   0.203818E+02  -0.239570E-06   0.235254E-05  -0.239570E-06   0.387638E-08
  1385   0.804212E+03  -0.667832E+02   0.235287E-05  -0.667832E+02   0.201649E+02  -0.237178E-06   0.235287E-05  -0.237178E-06   0.387168E-08
  1386   0.805951E+03  -0.665467E+02   0.235304E-05  -0.665467E+02   0.199485E+02  -0.234770E-06   0.235304E-05  -0.234770E-06   0.386698E-08
  1387   0.807659E+03  -0.662950E+02   0.235304E-05  -0.662950E+02   0.197327E+02  -0.232347E-06   0.235304E-05  -0.232347E-06   0.386229E-08
  1388   0.809346E+03  -0.660283E+02   0.235288E-05  -0.660283E+02   0.195176E+02  -0.229907E-06   0.235288E-05  -0.229907E-06   0.385761E-08
  1389   0.811003E+03  -0.657468E+02   0.235255E-05  -0.657468E+02   0.193033E+02  -0.227453E-06   0.235255E-05  -0.227453E-06   0.385294E-08
  1390   0.812637E+03  -0.654506E+02   0.235206E-05  -0.654506E+02   0.190898E+02  -0.224983E-06   0.235206E-05  -0.224983E-06   0.384828E-08
  1391   0.814242E+03  -0.651399E+02   0.235139E-05  -0.651399E+02   0.188772E+02  -0.222499E-06   0.235139E-05  -0.222499E-06   0.384363E-08
  1392   0.815817E+03  -0.648148E+02   0.235055E-05  -0.648148E+02   0.186657E+02  -0.220001E-06   0.235055E-05  -0.220001E-06   0.383898E-08
  1393   0.817369E+03  -0.644753E+02   0.234954E-05  -0.644753E+02   0.184552E+02  -0.217489E-06   0.234954E-05  -0.217489E-06   0.383435E-08
  1394   0.818885E+03  -0.641217E+02   0.234835E-05  -0.641217E+02   0.182458E+02  -0.214963E-06   0.234835E-05  -0.214963E-06   0.382972E-08
  1395   0.820363E+03  -0.637541E+02   0.234700E-05  -0.637541E+02   0.180377E+02  -0.212424E-06   0.234700E-05  -0.212424E-06   0.382510E-08
  1396   0.821812E+03  -0.633725E+02   0.234546E-05  -0.633725E+02   0.178307E+02  -0.209872E-06   0.234546E-05  -0.209872E-06   0.382049E-08
  1397   0.823231E+03  -0.629773E+02   0.234375E-05  -0.629773E+02   0.176252E+02  -0.207307E-06   0.234375E-05  -0.207307E-06   0.381589E-08
  1398   0.824605E+03  -0.625684E+02   0.234186E-05  -0.625684E+02   0.174211E+02  -0.204730E-06   0.234186E-05  -0.204730E-06   0.381129E-08
  1399   0.825950E+03  -0.621462E+02   0.233980E-05  -0.621462E+02   0.172184E+02  -0.202142E-06   0.233980E-05  -0.202142E-06   0.380670E-08
  1400   0.827250E+03  -0.617109E+02   0.233755E-05  -0.617109E+02   0.170174E+02  -0.199541E-06   0.233755E-05  -0.199541E-06   0.380213E-08
  1401   0.828520E+03  -0.612626E+02   0.233512E-05  -0.612626E+02   0.168179E+02  -0.196929E-06   0.233512E-05  -0.196929E-06   0.379756E-08
  1402   0.829746E+03  -0.608015E+02   0.233252E-05  -0.608015E+02   0.166202E+02  -0.194307E-06   0.233252E-05  -0.194307E-06   0.379300E-08
  1403   0.830935E+03  -0.603279E+02   0.232975E-05  -0.603279E+02   0.164242E+02  -0.191673E-06   0.232975E-05  -0.191673E-06   0.378844E-08
  1404   0.832086E+03  -0.598420E+02   0.232681E-05  -0.598420E+02   0.162300E+02  -0.189030E-06   0.232681E-05  -0.189030E-06   0.378390E-08
  1405   0.833193E+03  -0.593439E+02   0.232372E-05  -0.593439E+02   0.160378E+02  -0.186376E-06   0.232372E-05  -0.186376E-06   0.377936E-08
  1406   0.834256E+03  -0.588338E+02   0.232048E-05  -0.588338E+02   0.158475E+02  -0.183713E-06   0.232048E-05  -0.183713E-06   0.377483E-08
  1407   0.835273E+03  -0.583121E+02   0.231708E-05  -0.583121E+02   0.156592E+02  -0.181041E-06   0.231708E-05  -0.181041E-06   0.377031E-08
  1408   0.836254E+03  -0.577788E+02   0.231355E-05  -0.577788E+02   0.154731E+02  -0.178360E-06   0.231355E-05  -0.178360E-06   0.376580E-08
  1409   0.837183E+03  -0.572342E+02   0.230989E-05  -0.572342E+02   0.152890E+02  -0.175671E-06   0.230989E-05  -0.175671E-06   0.376129E-08
  1410   0.838074E+03  -0.566785E+02   0.230609E-05  -0.566785E+02   0.151072E+02  -0.172973E-06   0.230609E-05  -0.172973E-06   0.375680E-08
  1411   0.838914E+03  -0.561119E+02   0.230218E-05  -0.561119E+02   0.149276E+02  -0.170267E-06   0.230218E-05  -0.170267E-06   0.375231E-08
  1412   0.839709E+03  -0.555348E+02   0.229815E-05  -0.555348E+02   0.147503E+02  -0.167554E-06   0.229815E-05  -0.167554E-06   0.374783E-08
  1413   0.840452E+03  -0.549471E+02   0.229400E-05  -0.549471E+02   0.145755E+02  -0.164834E-06   0.229400E-05  -0.164834E-06   0.374336E-08
  1414   0.841150E+03  -0.543496E+02   0.228976E-05  -0.543496E+02   0.144031E+02  -0.162107E-06   0.228976E-05  -0.162107E-06   0.373889E-08
  1415   0.841797E+03  -0.537421E+02   0.228541E-05  -0.537421E+02   0.142331E+02  -0.159374E-06   0.228541E-05  -0.159374E-06   0.373444E-08
  1416   0.842398E+03  -0.531251E+02   0.228097E-05  -0.531251E+02   0.140658E+02  -0.156634E-06   0.228097E-05  -0.156634E-06   0.372999E-08
  1417   0.842948E+03  -0.524989E+02   0.227644E-05  -0.524989E+02   0.139010E+02  -0.153889E-06   0.227644E-05  -0.153889E-06   0.372555E-08
  1418   0.843453E+03  -0.518637E+02   0.227184E-05  -0.518637E+02   0.137389E+02  -0.151139E-06   0.227184E-05  -0.151139E-06   0.372112E-08
  1419   0.843907E+03  -0.512197E+02   0.226715E-05  -0.512197E+02   0.135796E+02  -0.148383E-06   0.226715E-05  -0.148383E-06   0.371669E-08
  1420   0.844308E+03  -0.505673E+02   0.226240E-05  -0.505673E+02   0.134230E+02  -0.145623E-06   0.226240E-05  -0.145623E-06   0.371227E-08
  1421   0.844657E+03  -0.499068E+02   0.225758E-05  -0.499068E+02   0.132692E+02  -0.142858E-06   0.225758E-05  -0.142858E-06   0.370787E-08
  1422   0.844954E+03  -0.492382E+02   0.225271E-05  -0.492382E+02   0.131184E+02  -0.140089E-06   0.225271E-05  -0.140089E-06   0.370346E-08
  1423   0.845207E+03  -0.485619E+02   0.224778E-05  -0.485619E+02   0.129703E+02  -0.137317E-06   0.224778E-05  -0.137317E-06   0.369907E-08
  1424   0.845400E+03  -0.478782E+02   0.224281E-05  -0.478782E+02   0.128253E+02  -0.134541E-06   0.224281E-05  -0.134541E-06   0.369469E-08
  1425   0.845542E+03  -0.471873E+02   0.223780E-05  -0.471873E+02   0.126833E+02  -0.131763E-06   0.223780E-05  -0.131763E-06   0.369031E-08
  1426   0.845631E+03  -0.464896E+02   0.223276E-05  -0.464896E+02   0.125443E+02  -0.128982E-06   0.223276E-05  -0.128982E-06   0.368594E-08
  1427   0.845661E+03  -0.457852E+02   0.222768E-05  -0.457852E+02   0.124084E+02  -0.126198E-06   0.222768E-05  -0.126198E-06   0.368158E-08
  1428   0.845638E+03  -0.450744E+02   0.222259E-05  -0.450744E+02   0.122755E+02  -0.123413E-06   0.222259E-05  -0.123413E-06   0.367722E-08
  1429   0.845564E+03  -0.443576E+02   0.221748E-05  -0.443576E+02   0.121458E+02  -0.120626E-06   0.221748E-05  -0.120626E-06   0.367288E-08
