#    L    TT             EE             BB             TE             PP             TP             EP          
   145   0.421492E+04   0.111182E+01   0.000000E+00  -0.456860E+02   0.773145E-07   0.230305E-03  -0.118183E-05
   146   0.424864E+04   0.110907E+01   0.000000E+00  -0.458372E+02   0.768659E-07   0.228266E-03  -0.117105E-05
   147   0.428221E+04   0.110586E+01   0.000000E+00  -0.459659E+02   0.764209E-07   0.226253E-03  -0.115954E-05
   148   0.431562E+04   0.110218E+01   0.000000E+00  -0.460719E+02   0.759795E-07   0.224264E-03  -0.114738E-05
   149   0.434886E+04   0.109804E+01   0.000000E+00  -0.461547E+02   0.755417E-07   0.222297E-03  -0.113469E-05
   150   0.438191E+04   0.109345E+01   0.000000E+00  -0.462139E+02   0.751074E-07   0.220352E-03  -0.112155E-05
   151   0.441475E+04   0.108842E+01   0.000000E+00  -0.462492E+02   0.746767E-07   0.218427E-03  -0.110806E-05
   152   0.444739E+04   0.108295E+01   0.000000E+00  -0.462602E+02   0.742494E-07   0.216522E-03  -0.109425E-05
   153   0.447981E+04   0.107705E+01   0.000000E+00  -0.462468E+02   0.738256E-07   0.214636E-03  -0.108013E-05
   154   0.451202E+04   0.107075E+01   0.000000E+00  -0.462087E+02   0.734053E-07   0.212769E-03  -0.106575E-05
   155   0.454400E+04   0.106404E+01   0.000000E+00  -0.461456E+02   0.729884E-07   0.210921E-03  -0.105110E-05
   156   0.457576E+04   0.105694E+01   0.000000E+00  -0.460572E+02   0.725749E-07   0.209093E-03  -0.103622E-05
   157   0.460728E+04   0.104946E+01   0.000000E+00  -0.459434E+02   0.721648E-07   0.207284E-03  -0.102114E-05
   158   0.463856E+04   0.104163E+01   0.000000E+00  -0.458038E+02   0.717581E-07   0.205494E-03  -0.100586E-05
   159   0.466960E+04   0.103343E+01   0.000000E+00  -0.456383E+02   0.713547E-07   0.203722E-03  -0.990417E-06
   160   0.470038E+04   0.102491E+01   0.000000E+00  -0.454467E+02   0.709546E-07   0.201969E-03  -0.974829E-06
   161   0.473088E+04   0.101606E+01   0.000000E+00  -0.452287E+02   0.705578E-07   0.200235E-03  -0.959118E-06
   162   0.476109E+04   0.100691E+01   0.000000E+00  -0.449842E+02   0.701642E-07   0.198519E-03  -0.943306E-06
   163   0.479100E+04   0.997488E+00   0.000000E+00  -0.447128E+02   0.697739E-07   0.196822E-03  -0.927416E-06
   164   0.482060E+04   0.987790E+00   0.000000E+00  -0.444146E+02   0.693869E-07   0.195143E-03  -0.911468E-06
   165   0.484987E+04   0.977839E+00   0.000000E+00  -0.440891E+02   0.690030E-07   0.193482E-03  -0.895486E-06
   166   0.487881E+04   0.967658E+00   0.000000E+00  -0.437365E+02   0.686223E-07   0.191839E-03  -0.879491E-06
   167   0.490741E+04   0.957269E+00   0.000000E+00  -0.433564E+02   0.682447E-07   0.190214E-03  -0.863506E-06
   168   0.493566E+04   0.946695E+00   0.000000E+00  -0.429490E+02   0.678703E-07   0.188607E-03  -0.847551E-06
   169   0.496355E+04   0.935957E+00   0.000000E+00  -0.425141E+02   0.674990E-07   0.187018E-03  -0.831650E-06
   170   0.499108E+04   0.925071E+00   0.000000E+00  -0.420516E+02   0.671308E-07   0.185446E-03  -0.815823E-06
   171   0.501822E+04   0.914066E+00   0.000000E+00  -0.415614E+02   0.667657E-07   0.183892E-03  -0.800094E-06
   172   0.504499E+04   0.902964E+00   0.000000E+00  -0.410436E+02   0.664036E-07   0.182356E-03  -0.784484E-06
   173   0.507136E+04   0.891787E+00   0.000000E+00  -0.404981E+02   0.660445E-07   0.180836E-03  -0.769014E-06
   174   0.509732E+04   0.880558E+00   0.000000E+00  -0.399248E+02   0.656884E-07   0.179334E-03  -0.753708E-06
   175   0.512288E+04   0.869314E+00   0.000000E+00  -0.393239E+02   0.653353E-07   0.177849E-03  -0.738587E-06
   176   0.514802E+04   0.858070E+00   0.000000E+00  -0.386954E+02   0.649852E-07   0.176381E-03  -0.723667E-06
   177   0.517273E+04   0.846862E+00   0.000000E+00  -0.380391E+02   0.646380E-07   0.174929E-03  -0.708942E-06
