#    L    TT             EE             TE             PP             TP          
   669   0.178926E+04   0.374235E+02  -0.464181E+02   0.580345E+06   0.154127E+03
   670   0.178839E+04   0.375403E+02  -0.481920E+02   0.579030E+06   0.155010E+03
   671   0.178772E+04   0.376513E+02  -0.499687E+02   0.577719E+06   0.155888E+03
   672   0.178725E+04   0.377563E+02  -0.517475E+02   0.576414E+06   0.156759E+03
   673   0.178698E+04   0.378553E+02  -0.535276E+02   0.575113E+06   0.157625E+03
   674   0.178691E+04   0.379484E+02  -0.553084E+02   0.573817E+06   0.158485E+03
   675   0.178705E+04   0.380353E+02  -0.570890E+02   0.572525E+06   0.159338E+03
   676   0.178739E+04   0.381161E+02  -0.588686E+02   0.571238E+06   0.160186E+03
   677   0.178793E+04   0.381909E+02  -0.606465E+02   0.569956E+06   0.161027E+03
   678   0.178867E+04   0.382594E+02  -0.624219E+02   0.568679E+06   0.161861E+03
   679   0.178961E+04   0.383216E+02  -0.641939E+02   0.567406E+06   0.162689E+03
   680   0.179075E+04   0.383777E+02  -0.659618E+02   0.566137E+06   0.163510E+03
   681   0.179209E+04   0.384273E+02  -0.677247E+02   0.564874E+06   0.164323E+03
   682   0.179361E+04   0.384706E+02  -0.694818E+02   0.563614E+06   0.165130E+03
   683   0.179534E+04   0.385075E+02  -0.712324E+02   0.562360E+06   0.165929E+03
   684   0.179727E+04   0.385380E+02  -0.729757E+02   0.561110E+06   0.166721E+03
   685   0.179939E+04   0.385621E+02  -0.747111E+02   0.559864E+06   0.167506E+03
   686   0.180169E+04   0.385799E+02  -0.764375E+02   0.558623E+06   0.168283E+03
   687   0.180420E+04   0.385914E+02  -0.781549E+02   0.557386E+06   0.169051E+03
   688   0.180689E+04   0.385966E+02  -0.798626E+02   0.556153E+06   0.169812E+03
   689   0.180978E+04   0.385955E+02  -0.815592E+02   0.554925E+06   0.170565E+03
   690   0.181285E+04   0.385882E+02  -0.832440E+02   0.553702E+06   0.171309E+03
   691   0.181611E+04   0.385746E+02  -0.849168E+02   0.552482E+06   0.172045E+03
   692   0.181955E+04   0.385548E+02  -0.865770E+02   0.551267E+06   0.172773E+03
   693   0.182318E+04   0.385288E+02  -0.882239E+02   0.550057E+06   0.173491E+03
   694   0.182699E+04   0.384965E+02  -0.898559E+02   0.548850E+06   0.174201E+03
   695   0.183099E+04   0.384581E+02  -0.914730E+02   0.547648E+06   0.174902E+03
   696   0.183514E+04   0.384133E+02  -0.930738E+02   0.546450E+06   0.175594E+03
   697   0.183949E+04   0.383624E+02  -0.946582E+02   0.545256E+06   0.176276E+03
   698   0.184399E+04   0.383053E+02  -0.962248E+02   0.544067E+06   0.176949E+03
   699   0.184868E+04   0.382420E+02  -0.977736E+02   0.542881E+06   0.177612E+03
   700   0.185353E+04   0.381727E+02  -0.993038E+02   0.541700E+06   0.178266E+03
   701   0.185854E+04   0.380972E+02  -0.100815E+03   0.540523E+06   0.178909E+03
   702   0.186371E+04   0.380156E+02  -0.102306E+03   0.539349E+06   0.179543E+03
   703   0.186904E+04   0.379281E+02  -0.103776E+03   0.538180E+06   0.180167E+03
   704   0.187453E+04   0.378346E+02  -0.105225E+03   0.537015E+06   0.180781E+03
   705   0.188017E+04   0.377352E+02  -0.106652E+03   0.535854E+06   0.181385E+03
   706   0.188597E+04   0.376300E+02  -0.108056E+03   0.534697E+06   0.181978E+03
   707   0.189191E+04   0.375190E+02  -0.109437E+03   0.533544E+06   0.182562E+03
   708   0.189799E+04   0.374022E+02  -0.110794E+03   0.532395E+06   0.183135E+03
   709   0.190422E+04   0.372798E+02  -0.112127E+03   0.531250E+06   0.183699E+03
   710   0.191058E+04   0.371517E+02  -0.113435E+03   0.530109E+06   0.184252E+03
   711   0.191708E+04   0.370181E+02  -0.114718E+03   0.528972E+06   0.184795E+03
   712   0.192372E+04   0.368789E+02  -0.115974E+03   0.527839E+06   0.185327E+03
   713   0.193048E+04   0.367343E+02  -0.117204E+03   0.526709E+06   0.185849E+03
   714   0.193736E+04   0.365843E+02  -0.118405E+03   0.525584E+06   0.186361E+03
   715   0.194437E+04   0.364290E+02  -0.119580E+03   0.524462E+06   0.186862E+03
   716   0.195149E+04   0.362683E+02  -0.120726E+03   0.523344E+06   0.187353E+03
   717   0.195873E+04   0.361024E+02  -0.121842E+03   0.522230E+06   0.187834E+03
   718   0.196607E+04   0.359312E+02  -0.122929E+03   0.521120E+06   0.188303E+03
   719   0.197352E+04   0.357550E+02  -0.123985E+03   0.520014E+06   0.188763E+03
   720   0.198108E+04   0.355738E+02  -0.125012E+03   0.518911E+06   0.189211E+03
   721   0.198872E+04   0.353877E+02  -0.126007E+03   0.517812E+06   0.189649E+03
   722   0.199647E+04   0.351968E+02  -0.126972E+03   0.516717E+06   0.190076E+03
   723   0.200431E+04   0.350012E+02  -0.127905E+03   0.515626E+06   0.190493E+03
   724   0.201225E+04   0.348012E+02  -0.128806E+03   0.514538E+06   0.190899E+03
   725   0.202027E+04   0.345967E+02  -0.129674E+03   0.513454E+06   0.191293E+03
   726   0.202837E+04   0.343878E+02  -0.130510E+03   0.512373E+06   0.191678E+03
   727   0.203656E+04   0.341747E+02  -0.131313E+03   0.511296E+06   0.192051E+03
   728   0.204482E+04   0.339573E+02  -0.132084E+03   0.510223E+06   0.192413E+03
   729   0.205315E+04   0.337359E+02  -0.132819E+03   0.509153E+06   0.192764E+03
   730   0.206155E+04   0.335105E+02  -0.133521E+03   0.508087E+06   0.193104E+03
   731   0.207002E+04   0.332812E+02  -0.134189E+03   0.507025E+06   0.193433E+03
   732   0.207854E+04   0.330480E+02  -0.134821E+03   0.505966E+06   0.193752E+03
   733   0.208712E+04   0.328112E+02  -0.135418E+03   0.504910E+06   0.194058E+03
   734   0.209575E+04   0.325706E+02  -0.135979E+03   0.503858E+06   0.194354E+03
   735   0.210442E+04   0.323267E+02  -0.136505E+03   0.502810E+06   0.194639E+03
   736   0.211314E+04   0.320794E+02  -0.136995E+03   0.501765E+06   0.194912E+03
   737   0.212189E+04   0.318288E+02  -0.137448E+03   0.500724E+06   0.195174E+03
   738   0.213068E+04   0.315750E+02  -0.137865E+03   0.499685E+06   0.195425E+03
   739   0.213950E+04   0.313182E+02  -0.138244E+03   0.498651E+06   0.195664E+03
   740   0.214834E+04   0.310585E+02  -0.138586E+03   0.497619E+06   0.195892E+03
   741   0.215720E+04   0.307960E+02  -0.138892E+03   0.496592E+06   0.196108E+03
   742   0.216607E+04   0.305309E+02  -0.139160E+03   0.495567E+06   0.196313E+03
   743   0.217495E+04   0.302633E+02  -0.139390E+03   0.494546E+06   0.196507E+03
   744   0.218384E+04   0.299932E+02  -0.139583E+03   0.493528E+06   0.196689E+03
   745   0.219272E+04   0.297210E+02  -0.139737E+03   0.492513E+06   0.196859E+03
   746   0.220160E+04   0.294466E+02  -0.139855E+03   0.491502E+06   0.197018E+03
   747   0.221048E+04   0.291702E+02  -0.139934E+03   0.490494E+06   0.197165E+03
   748   0.221933E+04   0.288918E+02  -0.139975E+03   0.489489E+06   0.197300E+03
   749   0.222817E+04   0.286117E+02  -0.139978E+03   0.488488E+06   0.197423E+03
   750   0.223699E+04   0.283299E+02  -0.139943E+03   0.487490E+06   0.197535E+03
   751   0.224579E+04   0.280466E+02  -0.139870E+03   0.486494E+06   0.197635E+03
   752   0.225454E+04   0.277619E+02  -0.139758E+03   0.485503E+06   0.197723E+03
   753   0.226326E+04   0.274758E+02  -0.139608E+03   0.484514E+06   0.197799E+03
   754   0.227195E+04   0.271886E+02  -0.139421E+03   0.483528E+06   0.197864E+03
   755   0.228059E+04   0.269004E+02  -0.139195E+03   0.482546E+06   0.197917E+03
   756   0.228919E+04   0.266112E+02  -0.138931E+03   0.481566E+06   0.197958E+03
   757   0.229774E+04   0.263215E+02  -0.138630E+03   0.480590E+06   0.197988E+03
   758   0.230624E+04   0.260310E+02  -0.138292E+03   0.479617E+06   0.198007E+03
   759   0.231469E+04   0.257402E+02  -0.137917E+03   0.478647E+06   0.198014E+03
   760   0.232308E+04   0.254491E+02  -0.137504E+03   0.477680E+06   0.198009E+03
   761   0.233141E+04   0.251578E+02  -0.137054E+03   0.476716E+06   0.197994E+03
   762   0.233968E+04   0.248665E+02  -0.136567E+03   0.475755E+06   0.197967E+03
   763   0.234788E+04   0.245752E+02  -0.136043E+03   0.474798E+06   0.197929E+03
   764   0.235599E+04   0.242841E+02  -0.135482E+03   0.473843E+06   0.197880E+03
   765   0.236403E+04   0.239934E+02  -0.134884E+03   0.472891E+06   0.197820E+03
   766   0.237198E+04   0.237031E+02  -0.134249E+03   0.471942E+06   0.197748E+03
   767   0.237984E+04   0.234132E+02  -0.133577E+03   0.470996E+06   0.197666E+03
   768   0.238761E+04   0.231241E+02  -0.132868E+03   0.470054E+06   0.197573E+03
   769   0.239526E+04   0.228359E+02  -0.132123E+03   0.469114E+06   0.197469E+03
   770   0.240282E+04   0.225486E+02  -0.131342E+03   0.468177E+06   0.197354E+03
   771   0.241027E+04   0.222625E+02  -0.130526E+03   0.467243E+06   0.197229E+03
   772   0.241760E+04   0.219777E+02  -0.129674E+03   0.466312E+06   0.197092E+03
   773   0.242482E+04   0.216943E+02  -0.128788E+03   0.465383E+06   0.196946E+03
   774   0.243191E+04   0.214125E+02  -0.127868E+03   0.464458E+06   0.196788E+03
   775   0.243888E+04   0.211324E+02  -0.126914E+03   0.463536E+06   0.196620E+03
   776   0.244572E+04   0.208541E+02  -0.125927E+03   0.462616E+06   0.196441E+03
   777   0.245244E+04   0.205778E+02  -0.124906E+03   0.461699E+06   0.196253E+03
   778   0.245904E+04   0.203035E+02  -0.123854E+03   0.460786E+06   0.196053E+03
   779   0.246550E+04   0.200314E+02  -0.122769E+03   0.459874E+06   0.195844E+03
   780   0.247184E+04   0.197617E+02  -0.121653E+03   0.458966E+06   0.195624E+03
   781   0.247804E+04   0.194944E+02  -0.120507E+03   0.458061E+06   0.195394E+03
   782   0.248411E+04   0.192296E+02  -0.119329E+03   0.457158E+06   0.195153E+03
   783   0.249004E+04   0.189674E+02  -0.118121E+03   0.456258E+06   0.194903E+03
   784   0.249583E+04   0.187080E+02  -0.116883E+03   0.455361E+06   0.194642E+03
   785   0.250146E+04   0.184515E+02  -0.115614E+03   0.454466E+06   0.194372E+03
   786   0.250693E+04   0.181979E+02  -0.114315E+03   0.453575E+06   0.194092E+03
   787   0.251225E+04   0.179473E+02  -0.112987E+03   0.452686E+06   0.193801E+03
   788   0.251740E+04   0.177000E+02  -0.111629E+03   0.451799E+06   0.193501E+03
   789   0.252237E+04   0.174559E+02  -0.110242E+03   0.450916E+06   0.193191E+03
   790   0.252718E+04   0.172154E+02  -0.108826E+03   0.450035E+06   0.192872E+03
   791   0.253181E+04   0.169784E+02  -0.107385E+03   0.449156E+06   0.192543E+03
   792   0.253627E+04   0.167452E+02  -0.105916E+03   0.448281E+06   0.192204E+03
   793   0.254055E+04   0.165160E+02  -0.104422E+03   0.447408E+06   0.191855E+03
   794   0.254466E+04   0.162908E+02  -0.102904E+03   0.446537E+06   0.191498E+03
   795   0.254857E+04   0.160698E+02  -0.101363E+03   0.445669E+06   0.191130E+03
   796   0.255231E+04   0.158530E+02  -0.997976E+02   0.444804E+06   0.190753E+03
   797   0.255587E+04   0.156406E+02  -0.982103E+02   0.443941E+06   0.190367E+03
   798   0.255925E+04   0.154325E+02  -0.966006E+02   0.443081E+06   0.189972E+03
   799   0.256244E+04   0.152289E+02  -0.949694E+02   0.442224E+06   0.189567E+03
   800   0.256545E+04   0.150298E+02  -0.933158E+02   0.441369E+06   0.189153E+03
   801   0.256828E+04   0.148353E+02  -0.916422E+02   0.440516E+06   0.188731E+03
   802   0.257092E+04   0.146453E+02  -0.899478E+02   0.439666E+06   0.188299E+03
   803   0.257337E+04   0.144601E+02  -0.882333E+02   0.438819E+06   0.187858E+03
   804   0.257564E+04   0.142797E+02  -0.865003E+02   0.437974E+06   0.187408E+03
   805   0.257770E+04   0.141043E+02  -0.847479E+02   0.437131E+06   0.186950E+03
   806   0.257956E+04   0.139340E+02  -0.829784E+02   0.436291E+06   0.186483E+03
   807   0.258121E+04   0.137688E+02  -0.811903E+02   0.435453E+06   0.186008E+03
   808   0.258265E+04   0.136090E+02  -0.793866E+02   0.434618E+06   0.185524E+03
   809   0.258387E+04   0.134547E+02  -0.775666E+02   0.433786E+06   0.185032E+03
   810   0.258488E+04   0.133058E+02  -0.757310E+02   0.432955E+06   0.184532E+03
   811   0.258567E+04   0.131625E+02  -0.738814E+02   0.432128E+06   0.184024E+03
   812   0.258627E+04   0.130247E+02  -0.720184E+02   0.431302E+06   0.183508E+03
   813   0.258665E+04   0.128926E+02  -0.701432E+02   0.430479E+06   0.182984E+03
   814   0.258684E+04   0.127661E+02  -0.682565E+02   0.429658E+06   0.182452E+03
   815   0.258683E+04   0.126452E+02  -0.663592E+02   0.428840E+06   0.181913E+03
   816   0.258662E+04   0.125302E+02  -0.644522E+02   0.428024E+06   0.181367E+03
   817   0.258622E+04   0.124209E+02  -0.625362E+02   0.427211E+06   0.180813E+03
   818   0.258561E+04   0.123175E+02  -0.606112E+02   0.426400E+06   0.180251E+03
   819   0.258480E+04   0.122200E+02  -0.586777E+02   0.425591E+06   0.179683E+03
   820   0.258377E+04   0.121285E+02  -0.567362E+02   0.424784E+06   0.179108E+03
   821   0.258252E+04   0.120431E+02  -0.547870E+02   0.423980E+06   0.178525E+03
   822   0.258105E+04   0.119639E+02  -0.528305E+02   0.423178E+06   0.177936E+03
   823   0.257935E+04   0.118908E+02  -0.508671E+02   0.422379E+06   0.177340E+03
   824   0.257742E+04   0.118239E+02  -0.488979E+02   0.421581E+06   0.176738E+03
   825   0.257528E+04   0.117633E+02  -0.469241E+02   0.420786E+06   0.176129E+03
   826   0.257292E+04   0.117090E+02  -0.449469E+02   0.419994E+06   0.175514E+03
   827   0.257035E+04   0.116609E+02  -0.429675E+02   0.419203E+06   0.174892E+03
   828   0.256758E+04   0.116192E+02  -0.409868E+02   0.418415E+06   0.174264E+03
   829   0.256461E+04   0.115838E+02  -0.390063E+02   0.417629E+06   0.173631E+03
   830   0.256145E+04   0.115547E+02  -0.370268E+02   0.416845E+06   0.172991E+03
   831   0.255810E+04   0.115320E+02  -0.350488E+02   0.416064E+06   0.172345E+03
   832   0.255454E+04   0.115156E+02  -0.330728E+02   0.415285E+06   0.171694E+03
   833   0.255078E+04   0.115058E+02  -0.310991E+02   0.414508E+06   0.171037E+03
   834   0.254682E+04   0.115023E+02  -0.291279E+02   0.413733E+06   0.170375E+03
   835   0.254264E+04   0.115054E+02  -0.271598E+02   0.412960E+06   0.169707E+03
   836   0.253824E+04   0.115150E+02  -0.251949E+02   0.412190E+06   0.169034E+03
   837   0.253362E+04   0.115311E+02  -0.232339E+02   0.411421E+06   0.168356E+03
   838   0.252880E+04   0.115538E+02  -0.212775E+02   0.410655E+06   0.167673E+03
   839   0.252375E+04   0.115829E+02  -0.193268E+02   0.409891E+06   0.166985E+03
   840   0.251851E+04   0.116185E+02  -0.173828E+02   0.409129E+06   0.166292E+03
   841   0.251307E+04   0.116604E+02  -0.154464E+02   0.408369E+06   0.165594E+03
   842   0.250744E+04   0.117088E+02  -0.135187E+02   0.407612E+06   0.164891E+03
   843   0.250161E+04   0.117635E+02  -0.116006E+02   0.406856E+06   0.164185E+03
   844   0.249561E+04   0.118244E+02  -0.969315E+01   0.406103E+06   0.163473E+03
   845   0.248942E+04   0.118916E+02  -0.779683E+01   0.405351E+06   0.162758E+03
   846   0.248305E+04   0.119652E+02  -0.591237E+01   0.404602E+06   0.162038E+03
   847   0.247649E+04   0.120451E+02  -0.404024E+01   0.403855E+06   0.161314E+03
   848   0.246974E+04   0.121313E+02  -0.218105E+01   0.403110E+06   0.160587E+03
   849   0.246280E+04   0.122240E+02  -0.335362E+00   0.402366E+06   0.159855E+03
   850   0.245566E+04   0.123230E+02   0.149626E+01   0.401625E+06   0.159120E+03
   851   0.244834E+04   0.124285E+02   0.331325E+01   0.400886E+06   0.158381E+03
   852   0.244082E+04   0.125402E+02   0.511509E+01   0.400149E+06   0.157638E+03
   853   0.243311E+04   0.126582E+02   0.690128E+01   0.399414E+06   0.156892E+03
   854   0.242522E+04   0.127822E+02   0.867129E+01   0.398681E+06   0.156142E+03
   855   0.241717E+04   0.129123E+02   0.104246E+02   0.397950E+06   0.155389E+03
   856   0.240894E+04   0.130483E+02   0.121608E+02   0.397221E+06   0.154633E+03
   857   0.240055E+04   0.131900E+02   0.138793E+02   0.396494E+06   0.153873E+03
   858   0.239201E+04   0.133376E+02   0.155795E+02   0.395769E+06   0.153110E+03
   859   0.238331E+04   0.134908E+02   0.172606E+02   0.395046E+06   0.152343E+03
   860   0.237445E+04   0.136496E+02   0.189218E+02   0.394325E+06   0.151573E+03
   861   0.236545E+04   0.138142E+02   0.205622E+02   0.393606E+06   0.150801E+03
   862   0.235629E+04   0.139843E+02   0.221809E+02   0.392888E+06   0.150024E+03
   863   0.234699E+04   0.141601E+02   0.237772E+02   0.392173E+06   0.149245E+03
   864   0.233754E+04   0.143415E+02   0.253499E+02   0.391460E+06   0.148463E+03
   865   0.232795E+04   0.145285E+02   0.268985E+02   0.390748E+06   0.147677E+03
   866   0.231822E+04   0.147210E+02   0.284225E+02   0.390039E+06   0.146889E+03
   867   0.230834E+04   0.149189E+02   0.299221E+02   0.389331E+06   0.146098E+03
   868   0.229832E+04   0.151221E+02   0.313968E+02   0.388625E+06   0.145304E+03
   869   0.228816E+04   0.153304E+02   0.328465E+02   0.387922E+06   0.144506E+03
   870   0.227787E+04   0.155440E+02   0.342711E+02   0.387220E+06   0.143707E+03
   871   0.226744E+04   0.157625E+02   0.356704E+02   0.386520E+06   0.142904E+03
   872   0.225688E+04   0.159860E+02   0.370443E+02   0.385821E+06   0.142098E+03
   873   0.224619E+04   0.162142E+02   0.383921E+02   0.385125E+06   0.141290E+03
   874   0.223539E+04   0.164472E+02   0.397133E+02   0.384431E+06   0.140479E+03
   875   0.222446E+04   0.166847E+02   0.410074E+02   0.383738E+06   0.139666E+03
   876   0.221342E+04   0.169267E+02   0.422738E+02   0.383047E+06   0.138850E+03
   877   0.220227E+04   0.171731E+02   0.435118E+02   0.382359E+06   0.138031E+03
   878   0.219103E+04   0.174236E+02   0.447211E+02   0.381672E+06   0.137210E+03
   879   0.217969E+04   0.176784E+02   0.459009E+02   0.380986E+06   0.136386E+03
   880   0.216826E+04   0.179371E+02   0.470509E+02   0.380303E+06   0.135561E+03
   881   0.215673E+04   0.181998E+02   0.481705E+02   0.379621E+06   0.134732E+03
   882   0.214512E+04   0.184664E+02   0.492593E+02   0.378942E+06   0.133902E+03
   883   0.213342E+04   0.187367E+02   0.503166E+02   0.378264E+06   0.133069E+03
   884   0.212164E+04   0.190108E+02   0.513421E+02   0.377587E+06   0.132233E+03
   885   0.210977E+04   0.192886E+02   0.523353E+02   0.376913E+06   0.131396E+03
   886   0.209781E+04   0.195698E+02   0.532956E+02   0.376240E+06   0.130556E+03
   887   0.208578E+04   0.198546E+02   0.542231E+02   0.375570E+06   0.129715E+03
   888   0.207368E+04   0.201426E+02   0.551176E+02   0.374900E+06   0.128871E+03
   889   0.206150E+04   0.204338E+02   0.559791E+02   0.374233E+06   0.128025E+03
   890   0.204926E+04   0.207282E+02   0.568075E+02   0.373568E+06   0.127177E+03
   891   0.203695E+04   0.210255E+02   0.576029E+02   0.372904E+06   0.126328E+03
   892   0.202458E+04   0.213256E+02   0.583650E+02   0.372242E+06   0.125476E+03
   893   0.201215E+04   0.216284E+02   0.590939E+02   0.371581E+06   0.124622E+03
   894   0.199968E+04   0.219338E+02   0.597895E+02   0.370922E+06   0.123767E+03
   895   0.198715E+04   0.222416E+02   0.604514E+02   0.370266E+06   0.122910E+03
   896   0.197458E+04   0.225517E+02   0.610798E+02   0.369610E+06   0.122051E+03
   897   0.196197E+04   0.228639E+02   0.616744E+02   0.368957E+06   0.121190E+03
   898   0.194931E+04   0.231781E+02   0.622350E+02   0.368305E+06   0.120328E+03
   899   0.193663E+04   0.234941E+02   0.627616E+02   0.367655E+06   0.119464E+03
   900   0.192392E+04   0.238119E+02   0.632539E+02   0.367006E+06   0.118599E+03
   901   0.191118E+04   0.241312E+02   0.637119E+02   0.366359E+06   0.117732E+03
   902   0.189843E+04   0.244520E+02   0.641355E+02   0.365714E+06   0.116863E+03
   903   0.188566E+04   0.247741E+02   0.645245E+02   0.365071E+06   0.115994E+03
   904   0.187287E+04   0.250974E+02   0.648788E+02   0.364429E+06   0.115123E+03
   905   0.186008E+04   0.254217E+02   0.651984E+02   0.363789E+06   0.114250E+03
   906   0.184728E+04   0.257471E+02   0.654831E+02   0.363150E+06   0.113377E+03
   907   0.183448E+04   0.260732E+02   0.657327E+02   0.362513E+06   0.112503E+03
   908   0.182169E+04   0.264000E+02   0.659475E+02   0.361878E+06   0.111627E+03
   909   0.180890E+04   0.267275E+02   0.661273E+02   0.361244E+06   0.110751E+03
   910   0.179612E+04   0.270554E+02   0.662722E+02   0.360612E+06   0.109875E+03
   911   0.178336E+04   0.273836E+02   0.663824E+02   0.359982E+06   0.108997E+03
   912   0.177062E+04   0.277120E+02   0.664579E+02   0.359353E+06   0.108119E+03
   913   0.175790E+04   0.280406E+02   0.664988E+02   0.358726E+06   0.107240E+03
   914   0.174520E+04   0.283690E+02   0.665050E+02   0.358100E+06   0.106362E+03
   915   0.173253E+04   0.286974E+02   0.664768E+02   0.357476E+06   0.105482E+03
   916   0.171989E+04   0.290255E+02   0.664143E+02   0.356854E+06   0.104603E+03
   917   0.170728E+04   0.293531E+02   0.663174E+02   0.356233E+06   0.103723E+03
   918   0.169470E+04   0.296802E+02   0.661865E+02   0.355614E+06   0.102844E+03
   919   0.168217E+04   0.300065E+02   0.660216E+02   0.354996E+06   0.101964E+03
   920   0.166968E+04   0.303320E+02   0.658228E+02   0.354380E+06   0.101085E+03
   921   0.165722E+04   0.306565E+02   0.655903E+02   0.353765E+06   0.100206E+03
   922   0.164482E+04   0.309798E+02   0.653244E+02   0.353153E+06   0.993266E+02
   923   0.163248E+04   0.313020E+02   0.650254E+02   0.352541E+06   0.984481E+02
   924   0.162019E+04   0.316228E+02   0.646937E+02   0.351931E+06   0.975701E+02
   925   0.160796E+04   0.319421E+02   0.643294E+02   0.351323E+06   0.966927E+02
   926   0.159579E+04   0.322598E+02   0.639332E+02   0.350716E+06   0.958159E+02
   927   0.158368E+04   0.325757E+02   0.635052E+02   0.350111E+06   0.949399E+02
   928   0.157165E+04   0.328899E+02   0.630457E+02   0.349507E+06   0.940648E+02
   929   0.155970E+04   0.332020E+02   0.625551E+02   0.348905E+06   0.931905E+02
   930   0.154782E+04   0.335119E+02   0.620337E+02   0.348304E+06   0.923173E+02
   931   0.153601E+04   0.338197E+02   0.614816E+02   0.347705E+06   0.914452E+02
   932   0.152430E+04   0.341250E+02   0.608991E+02   0.347108E+06   0.905743E+02
   933   0.151266E+04   0.344279E+02   0.602867E+02   0.346512E+06   0.897046E+02
   934   0.150112E+04   0.347281E+02   0.596443E+02   0.345917E+06   0.888363E+02
   935   0.148966E+04   0.350255E+02   0.589725E+02   0.345324E+06   0.879695E+02
   936   0.147829E+04   0.353199E+02   0.582715E+02   0.344732E+06   0.871042E+02
   937   0.146702E+04   0.356114E+02   0.575418E+02   0.344142E+06   0.862406E+02
   938   0.145585E+04   0.358997E+02   0.567836E+02   0.343553E+06   0.853786E+02
   939   0.144478E+04   0.361848E+02   0.559974E+02   0.342966E+06   0.845185E+02
   940   0.143380E+04   0.364663E+02   0.551836E+02   0.342381E+06   0.836603E+02
   941   0.142294E+04   0.367445E+02   0.543425E+02   0.341796E+06   0.828040E+02
   942   0.141218E+04   0.370190E+02   0.534744E+02   0.341213E+06   0.819498E+02
   943   0.140154E+04   0.372897E+02   0.525800E+02   0.340632E+06   0.810978E+02
   944   0.139100E+04   0.375566E+02   0.516596E+02   0.340052E+06   0.802481E+02
   945   0.138059E+04   0.378196E+02   0.507137E+02   0.339474E+06   0.794006E+02
   946   0.137028E+04   0.380785E+02   0.497427E+02   0.338897E+06   0.785556E+02
   947   0.136011E+04   0.383332E+02   0.487473E+02   0.338321E+06   0.777131E+02
   948   0.135005E+04   0.385838E+02   0.477278E+02   0.337747E+06   0.768732E+02
   949   0.134011E+04   0.388300E+02   0.466846E+02   0.337174E+06   0.760360E+02
   950   0.133030E+04   0.390718E+02   0.456184E+02   0.336603E+06   0.752016E+02
   951   0.132063E+04   0.393090E+02   0.445294E+02   0.336033E+06   0.743700E+02
   952   0.131107E+04   0.395415E+02   0.434184E+02   0.335465E+06   0.735413E+02
   953   0.130165E+04   0.397693E+02   0.422856E+02   0.334898E+06   0.727155E+02
   954   0.129236E+04   0.399923E+02   0.411316E+02   0.334332E+06   0.718928E+02
   955   0.128321E+04   0.402103E+02   0.399569E+02   0.333768E+06   0.710731E+02
   956   0.127419E+04   0.404232E+02   0.387620E+02   0.333205E+06   0.702564E+02
   957   0.126532E+04   0.406311E+02   0.375475E+02   0.332643E+06   0.694429E+02
   958   0.125658E+04   0.408337E+02   0.363140E+02   0.332083E+06   0.686324E+02
   959   0.124798E+04   0.410311E+02   0.350622E+02   0.331524E+06   0.678252E+02
   960   0.123952E+04   0.412233E+02   0.337928E+02   0.330967E+06   0.670212E+02
   961   0.123121E+04   0.414101E+02   0.325062E+02   0.330411E+06   0.662205E+02
   962   0.122305E+04   0.415915E+02   0.312034E+02   0.329856E+06   0.654231E+02
   963   0.121504E+04   0.417675E+02   0.298849E+02   0.329303E+06   0.646290E+02
   964   0.120717E+04   0.419380E+02   0.285511E+02   0.328751E+06   0.638384E+02
   965   0.119946E+04   0.421029E+02   0.272027E+02   0.328201E+06   0.630511E+02
   966   0.119189E+04   0.422621E+02   0.258403E+02   0.327652E+06   0.622674E+02
   967   0.118448E+04   0.424156E+02   0.244645E+02   0.327104E+06   0.614871E+02
   968   0.117722E+04   0.425633E+02   0.230757E+02   0.326557E+06   0.607104E+02
   969   0.117011E+04   0.427051E+02   0.216746E+02   0.326012E+06   0.599373E+02
   970   0.116316E+04   0.428409E+02   0.202617E+02   0.325468E+06   0.591679E+02
   971   0.115636E+04   0.429709E+02   0.188376E+02   0.324926E+06   0.584021E+02
   972   0.114971E+04   0.430947E+02   0.174031E+02   0.324385E+06   0.576400E+02
   973   0.114322E+04   0.432125E+02   0.159586E+02   0.323845E+06   0.568817E+02
   974   0.113690E+04   0.433242E+02   0.145048E+02   0.323306E+06   0.561272E+02
   975   0.113072E+04   0.434297E+02   0.130425E+02   0.322769E+06   0.553765E+02
   976   0.112470E+04   0.435292E+02   0.115721E+02   0.322233E+06   0.546297E+02
   977   0.111884E+04   0.436223E+02   0.100944E+02   0.321699E+06   0.538868E+02
   978   0.111314E+04   0.437092E+02   0.860981E+01   0.321166E+06   0.531479E+02
   979   0.110759E+04   0.437899E+02   0.711913E+01   0.320634E+06   0.524130E+02
   980   0.110221E+04   0.438642E+02   0.562287E+01   0.320103E+06   0.516821E+02
   981   0.109698E+04   0.439324E+02   0.412163E+01   0.319574E+06   0.509553E+02
   982   0.109191E+04   0.439941E+02   0.261600E+01   0.319046E+06   0.502326E+02
   983   0.108700E+04   0.440497E+02   0.110660E+01   0.318519E+06   0.495141E+02
   984   0.108224E+04   0.440988E+02  -0.406003E+00   0.317994E+06   0.487998E+02
   985   0.107765E+04   0.441416E+02  -0.192126E+01   0.317469E+06   0.480897E+02
   986   0.107321E+04   0.441780E+02  -0.343862E+01   0.316946E+06   0.473840E+02
   987   0.106893E+04   0.442080E+02  -0.495757E+01   0.316425E+06   0.466825E+02
   988   0.106481E+04   0.442314E+02  -0.647757E+01   0.315905E+06   0.459855E+02
